date,AWU,AXC,BGN,BMG,CHWK,CUU,DLVY,DVRL,EHH,EUZ,EXY,EZVY,FJKV,FJZC,FRCE,FSVO,HECP,HER,HESC,HRVC,HXX,IEZI,IOV,IRX,IYPP,JMS,JWDV,JXAN,KEQ,KER,KGO,KSR,KTVL,KUAQ,LJGB,LMLK,MEF,MHNG,MTZB,NDQC,NEGH,NKP,NSLG,NZSR,OBAK,OCG,OKK,OLE,OWKQ,OZI,OZMT,PDX,PQCE,PSWA,PUO,PYTC,QEBK,RALO,RLZA,RPEZ,RQG,RVWV,RZW,SEBI,SGVQ,SIP,SLRR,SXQ,TGXX,TQKA,TRE,TUMH,UAIG,UFT,UTQ,UZS,VBB,VCXW,VDHJ,VHE,VLOZ,WFS,WHMG,WNE,WOXI,XAU,XBN,XJJI,XSOQ,XWR,XYCJ,XZFM,YPDA,ZEA,ZGL,ZOE,ZWH,ZWNG,ZXGV,ZZQB
2010-01-04,191.7,42.68,,59.87,122.72,100.34,143.48,73.27,164.24,92.87,158.46,200.6,123.34,137.98,34.05,114.06,177.67,160.89,37.86,,108.38,136.5,,,,78.11,97.71,,55.23,,122.67,155.35,50.33,163.61,131.54,70.92,100.33,94.97,93.72,182.79,194.74,81.08,165.18,75.1,52.17,187.02,67.61,90.3,95.08,109.76,56.19,132.81,166.97,118.3,65.66,70.69,31.05,148.25,128.43,87.05,183.58,124.11,62.04,142.56,79.88,111.14,89.96,149.74,193.59,112.7,142.92,121.3,142.01,200.59,83.17,74.77,59.29,91.02,56.99,166.8,174.84,147.77,96.63,178.49,76.26,55.81,83.8,92.84,97.29,118.95,35.91,177.5,160.32,69.08,66.16,33.97,196.49,154.04,193.92,137.91
2010-01-05,188.17,42.95,,59.87,123.37,108.18,140.35,74.93,163.53,95.38,156.59,204.03,121.73,137.36,34.59,112.94,173.54,164.55,36.86,,108.13,138.61,,,,75.88,97.14,,55.05,,121.93,156.64,52.8,167.89,131.12,72.86,102.65,93.71,93.22,184.46,193.89,80.34,164.25,75.63,51.95,186.34,67.74,93.15,93.88,112.84,56.45,131.3,167.6,118.83,65.36,67.84,31.17,150.5,130.59,86.39,181.64,123.61,61.29,149.5,79.96,110.68,89.52,148.62,196.27,112.82,140.64,121.23,144.28,198.21,83.37,74.61,59.15,93.3,57.28,165.23,174.97,147.54,95.49,176.25,75.63,55.58,85.9,92.48,97.36,123.07,36.99,177.15,160.91,67.86,65.13,33.88,195.13,152.81,195.13,141.78
2010-01-06,186.5,42.01,,59.69,125.72,110.53,138.11,75.96,163.38,95.56,156.33,205.17,122.89,139.37,34.67,112.38,168.19,166.62,36.52,,104.99,145.43,,,,75.63,97.38,,55.7,,122.16,155.27,54.66,166.97,130.49,72.65,103.68,94.71,92.95,177.72,188.65,79.15,166.13,75.61,52.89,188.05,64.91,94.65,94.13,113.16,57.12,132.35,171.89,119.63,65.31,67.24,31.46,150.46,133.08,85.48,179.38,127.18,60.81,148.2,79.5,109.84,90.3,146.44,202.31,112.22,139.78,119.67,140.87,195.32,82.9,73.83,58.47,93.24,57.16,164.4,173.26,146.29,95.26,180.21,74.47,55.63,86.67,94.42,97.58,125.1,38.01,179.22,160.31,68.48,65.47,34.07,196.57,153.71,195.93,142.25
2010-01-07,185.19,42.55,,60.23,124.35,112.29,139.75,77.47,159.75,98.47,153.08,204.93,121.21,139.42,33.94,112.58,167.18,168.74,36.59,,106.64,149.52,,,,74.24,96.65,,56.51,,121.62,158.05,55.06,165.22,130.64,73.91,103.39,94.74,96.23,175.1,185.57,80.02,164.76,75.66,54.29,189.3,64.3,103.43,94.44,112.14,56.89,131.6,186.63,119.72,65.22,66.69,31.49,154.58,132.16,85.9,180.82,124.89,60.51,147.42,80.57,111.28,90.84,148.02,209.1,114.37,138.84,119.22,140.14,194.68,83.06,74.71,58.5,95.32,57.22,164.59,178.61,146.34,95.82,178.02,75.23,56.02,88.54,93.41,97.66,124.7,39.54,179.14,157.95,71.59,64.85,34.21,195.62,158.7,196.98,150.15
2010-01-08,187.02,43.01,,60.35,122.38,110.92,140.59,77.44,162.29,97.61,149.32,206.44,120.81,139.75,33.81,113.07,169.05,170.16,35.97,,107.56,149.74,,,,75.34,98.28,,56.63,,122.73,159.18,53.77,164.38,129.76,73.64,103.3,95.51,97.09,175.9,184.38,81.75,167.37,76.32,54.0,187.03,64.42,102.35,96.09,117.5,57.04,129.92,194.65,122.1,66.55,66.79,31.47,156.49,132.35,85.56,182.04,129.06,61.25,143.93,80.92,115.11,90.92,147.79,211.61,117.02,139.71,118.04,149.15,194.14,84.91,74.49,59.93,93.09,57.15,164.49,179.97,145.71,95.09,175.14,73.16,56.3,88.69,93.0,97.58,125.22,39.18,178.0,158.72,69.15,64.46,34.33,196.36,155.74,198.18,159.19
2010-01-11,183.71,43.26,,61.04,121.89,111.27,138.62,78.48,160.23,97.59,144.23,205.17,123.09,140.85,33.47,113.59,168.05,172.04,35.44,,107.3,150.4,,,,76.21,97.81,,55.9,,123.43,159.11,53.94,163.92,131.41,73.82,103.03,97.29,97.48,177.86,183.24,82.47,167.71,80.91,53.74,186.89,64.99,103.84,95.54,115.87,56.7,130.09,192.71,123.32,66.85,69.42,31.47,155.11,135.89,86.55,181.64,129.45,60.93,143.3,81.72,118.01,92.01,149.16,209.69,118.45,140.86,118.31,156.16,196.72,87.48,73.9,60.34,95.3,57.08,164.92,179.4,148.4,95.6,171.9,73.4,57.11,89.04,94.97,96.98,124.44,38.88,177.3,156.35,69.92,65.17,34.51,196.0,158.26,196.81,163.08
2010-01-12,180.99,42.65,,60.58,121.64,115.35,137.99,78.29,158.21,95.14,143.39,202.33,123.02,140.64,32.87,111.68,165.05,169.97,34.29,,103.04,145.59,,,,75.33,96.77,,56.59,,120.48,157.25,52.49,171.28,130.04,71.23,103.22,97.12,96.74,174.73,183.08,82.38,165.81,78.63,52.95,184.24,65.01,102.52,94.49,113.86,56.22,126.48,189.84,121.6,65.24,72.2,31.24,155.49,136.27,84.73,180.89,124.36,61.25,146.64,80.61,118.85,88.77,149.71,206.02,116.55,140.88,118.79,154.2,195.11,81.21,73.85,60.12,93.17,56.59,163.66,177.7,149.74,95.68,170.95,71.9,57.43,88.91,95.17,95.16,121.02,38.58,176.34,153.77,67.26,65.39,34.76,197.11,153.91,193.45,157.57
2010-01-13,187.75,43.91,,61.13,123.41,117.49,140.24,78.57,164.45,96.95,141.14,206.19,123.87,141.91,33.62,112.0,168.19,172.35,34.42,,106.42,147.06,,,,76.21,97.9,,56.9,,120.89,158.0,53.03,166.85,132.7,73.12,104.27,97.67,98.14,175.96,181.29,83.89,166.02,78.45,53.26,190.85,65.83,104.99,94.29,114.05,57.29,127.06,192.12,121.91,65.74,73.83,31.59,157.52,135.7,86.98,182.63,125.76,61.33,151.42,81.12,119.92,92.0,149.42,206.76,117.03,144.26,120.25,153.83,196.92,81.38,74.44,60.76,93.43,56.69,165.26,179.06,150.34,96.15,171.56,72.84,57.25,90.43,96.11,94.74,121.01,39.12,177.65,155.22,68.56,66.76,35.09,198.03,159.38,194.99,155.2
2010-01-14,188.04,45.16,,61.34,123.13,114.83,140.81,78.39,166.71,98.27,141.3,206.15,123.5,142.12,33.18,111.38,161.59,171.05,34.18,,104.53,149.85,,,,76.84,98.17,,57.55,,120.8,159.87,55.85,168.41,132.24,73.29,104.08,97.81,97.19,170.85,178.31,84.72,165.92,78.35,53.34,190.3,66.26,108.97,94.43,112.52,57.3,123.28,183.44,120.91,65.95,74.19,31.89,156.41,133.35,86.64,183.09,124.27,62.05,150.64,80.86,120.38,91.5,149.48,205.83,118.06,145.65,119.31,159.47,200.08,80.47,74.12,61.08,93.82,56.69,165.25,178.5,151.3,96.28,171.52,73.25,56.73,92.71,95.77,94.64,119.84,39.3,175.56,153.05,67.38,66.05,35.04,198.65,157.19,197.05,155.38
2010-01-15,185.97,44.71,,61.08,119.92,112.94,137.77,76.54,161.88,94.68,144.6,204.22,123.37,139.5,32.88,110.08,159.09,171.09,36.57,,100.18,147.71,,,,74.29,97.39,,57.27,,121.24,157.82,55.38,165.2,133.22,73.83,103.0,96.48,95.4,170.91,175.98,84.39,163.83,75.85,51.46,188.21,65.61,108.01,93.1,110.7,57.41,124.54,182.76,119.28,65.06,73.75,31.65,156.72,130.21,86.31,180.09,123.47,61.54,145.45,80.94,119.95,89.64,148.71,203.25,118.07,146.53,118.14,156.9,198.33,77.2,73.7,60.15,92.34,55.88,162.92,179.22,149.4,95.32,168.92,71.95,54.53,90.34,95.21,91.47,122.94,38.91,176.04,152.81,65.86,65.3,34.93,196.99,152.69,194.05,152.24
2010-01-19,186.07,45.54,,61.64,121.31,116.22,137.98,77.07,161.53,95.48,146.68,204.87,124.57,142.34,33.83,111.64,162.0,174.14,36.03,,101.98,149.25,,,,75.0,99.74,,58.15,,122.91,161.21,55.93,169.94,136.46,73.74,104.59,97.87,97.4,170.79,178.33,85.54,165.14,76.58,52.42,193.89,66.06,108.1,94.67,112.06,58.5,125.25,180.56,122.26,65.44,75.12,32.41,158.49,133.59,87.82,184.06,123.54,62.68,149.83,82.78,126.04,91.18,151.36,205.42,118.91,150.43,119.38,158.59,203.08,77.54,74.07,60.9,95.05,57.4,163.82,179.89,149.84,96.52,172.29,73.51,55.4,89.76,97.02,93.08,123.01,38.68,176.56,154.64,66.4,65.9,35.1,199.24,154.4,193.75,156.63
